gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_10.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_38.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_1.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_0.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_39.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_11.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_13.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_2.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_3.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_12.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/.DS_Store,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_7.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_6.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_17.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_29.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_15.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_4.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_5.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_14.png,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_28.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_66.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_72.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_99.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_64.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_70.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_58.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_59.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_71.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_65.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_49.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_61.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_75.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_60.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_48.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_89.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_76.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_62.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_63.png,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_91.jpg,Christmas Cactus
gs://automl-test-251018-vcm/Plant_images/Christmas Cactus/img_85.jpg,Christmas Cactus
